Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Juni,https://www.crunchbase.com/organization/juni,2022-06-08,101-250,2020-01-01,year,"Banking, E-Commerce, Finance, Financial Services, FinTech","Göteborg, Vastra Gotaland, Sweden",Juni is a fintech company that develops a banking app and platform for e-commerce and online marketing entrepreneurs.,31,,Active,,https://www.juni.co,https://twitter.com/getjuni,https://www.facebook.com/getjuni,https://www.linkedin.com/company/getjuni,Emerging Unicorn,"Juni is a fintech company that develops a banking app and platform for e-commerce and online marketing entrepreneurs. It empowers digital entrepreneurs to make better decisions, enables them to scale up their operation, and unleash the full potential of digital commerce in their favor.",,,106000000,USD,106000000,Debt Financing,175873253,USD,175873253,100000000,USD,100000000,Series B,Early Stage Venture,"FJ Labs, Cherry Ventures, EQT Ventures, DST Global, TriplePoint Capital",,,8,"156,846",hello@juni.co,
FINN,https://www.crunchbase.com/organization/finn-b149,2022-05-25,101-250,2019-05-15,day,"Automotive, Car Sharing, Leasing","Munich, Bayern, Germany",FINN offers monthly car-subscriptions to create a sustainable method for mobility.,84,$10M to $50M,Active,For Profit,https://www.finn.auto/,,https://www.facebook.com/finn.auto.abo/,https://www.linkedin.com/company/finn-auto/,Emerging Unicorn,"FINN offers monthly car subscriptions to create a sustainable method for mobility. Its mission is to make mobility fun and sustainable: We help everyone who loves driving their own car but refuses the struggle, commitment and intransparent costs associated with car ownership. We achieve this by offering all-inclusive, immediately available, monthly car subscriptions. The best thing, yet: While you drive we plant trees as every journey is CO2 compensated.",,,110000000,USD,110000000,Series B,143981516,USD,143981516,110000000,USD,110000000,Series B,Early Stage Venture,"White Star Capital, Credit Suisse, Heliad Equity Partners, Picus Capital, Waterfall Asset Management",,,26,"482,497",,
Hokodo,https://www.crunchbase.com/organization/hokodo,2022-06-23,51-100,2018-01-01,year,"B2B, E-Commerce, Financial Services, FinTech, Payments","London, England, United Kingdom","Hokodo is a provider of buy now, pay later solutions for e-commerce and B2B merchants.",96,Less than $1M,Active,For Profit,https://www.hokodo.co,https://twitter.com/hokodotech,,https://www.linkedin.com/company/hokodo,,"Hokodo is a pan-European provider of B2B Buy Now, Pay Later solutions enabling businesses to buy, sell and do more. The company's easy-to-integrate digital platform streamlines the entire order-to-cash process, allowing merchants to make credit decisions in real-time, be protected against bad debt, and get access to working capital finance options. Hokodo was founded in 2018 and is based in London, England.",,,40000000,USD,40000000,Series B,54658357,USD,54658357,40000000,USD,40000000,Series B,Early Stage Venture,"Anthemis Group, Notion Capital, Alma Mundi Ventures, Mosaic, Taavet Hinrikus",,,10,"6,778",contact@hokodo.co,020-3974-1620
Vamstar,https://www.crunchbase.com/organization/vamstar,2022-06-22,51-100,2019-09-12,day,"B2B, Big Data, Health Care, Health Diagnostics, Life Science, Machine Learning, Marketplace, Medical Device, Natural Language Processing, Procurement","London, England, United Kingdom",AI-powered Global B2B Healthcare Marketplace,292,$100M to $500M,Active,For Profit,https://www.vamstar.io/,,,https://www.linkedin.com/company/vamstar,,"Healthcare marketplace is broken from a long-time. Both buyers (hospitals, health systems) and suppliers (pharmaceutical and medical device manufacturers/digital health companies/service or solution providers) struggle to find the optimum opportunities for developing a transaction. It takes time and resources to effectively commercialise new healthcare technology. We use the latest data automation technologies (NLP, ML, DL etc). to aggregate demand from millions of sources and provide real-time analytics to shape the transaction. We aggregate more than $2tn of global demand (70+ countries) in our system and make it easier for healthcare companies to start closing more deals. Our customers use a range of search and bid-development tools within our platform to quickly find the most suitable opportunity and finalise a transaction. Additionally, buyers (hospital, clinics etc.) can directly launch procurement and sourcing programs in our platform and get access to thousands of suppliers in the market for their respective products/services. We have millions of contracts in our platform across countries for suppliers to bid, we have onboarded some of the world's most innovative healthcare companies, we are continuing to raise money to build the world's first digital marketplace, we have won innovation awards, and we're backed by some of the best investors in the world. And we are JUST GETTING STARTED.",,,9500000,USD,9500000,Series A,11370000,USD,11370000,9500000,USD,9500000,Series A,Early Stage Venture,"Antler, btov Partners, Innovate UK, Alpha Intelligence Capital, Dutch Founders Fund",,,70,"7,144",info@vamstar.io,+44 330 133 1383
Wiz,https://www.crunchbase.com/organization/wiz-inc,2021-10-11,101-250,2020-01-01,month,"Cloud Security, Cyber Security, Enterprise Software, Security","Tel Aviv, Tel Aviv, Israel",Wiz is a cybersecurity company that allows companies to find security issues in public cloud infrastructure.,360,$1M to $10M,Active,For Profit,https://wiz.io/,https://twitter.com/wiz_io,https://www.facebook.com/wiz.io.sec,https://www.linkedin.com/company/wizsecurity,Unicorn,"Wiz is a cybersecurity company that allows companies to find security issues in public cloud infrastructure. It has designed the first cloud-native visibility solution for enterprise security teams that analyzes the entire cloud environment to deliver a 360° view of security risks across clouds, containers, and workloads. The solution dives deep on risks with actionable, graph-based analysis and all completely agentless.",,,250000000,USD,250000000,Series C,600000000,USD,600000000,250000000,USD,250000000,Series C,Late Stage Venture,"Sequoia Capital, Insight Partners, Cerca Partners, Index Ventures, Salesforce",,,9,"102,184",info@wiz.io,
Flowdesk,https://www.crunchbase.com/organization/flowdesk,2022-06-27,11-50,2020-04-01,day,"Cryptocurrency, Financial Services, FinTech, Information Technology","Paris, Ile-de-France, France",Flowdesk provides building a trading infrastructure to provide market-making services for web3 players.,411,,Active,For Profit,https://flowdesk.co,https://twitter.com/flowdesk_co,,https://www.linkedin.com/company/flowdesk-france/,,"Flowdesk is a digital asset financial technology provider building a trading infrastructure to provide market-making services for web3 players. Flowdesk is based in France, Singapore, and soon in the US. Company registered in France - no. 883604647 Registered Digital Asset Service Provider with the AMF for digital assets custody, purchase/sale of digital assets for legal tender and trading of digital assets for other digital assets number: E2021-019",,,30000000,USD,30000000,Series A,30000000,USD,30000000,30000000,USD,30000000,Series A,Early Stage Venture,"Eurazeo, Coinbase, Ledger, Bpifrance, Coinbase Ventures",,,9,"4,261",team@flowdesk.co,
Papercup,https://www.crunchbase.com/organization/papercup-ai,2022-06-09,51-100,2017-12-01,month,"Apps, Artificial Intelligence, Digital Media, Machine Learning, Media and Entertainment, Software, Video","London, England, United Kingdom",Papercup translates videos using AI by generating voices that sound like the original speaker,494,$10M to $50M,Active,For Profit,https://www.papercup.com/,https://twitter.com/PapercupAI,,https://www.linkedin.com/company/papercup-ai/,,"Papercup automates large parts of the dubbing process so content owners can localize their videos at scale, faster and at a fraction of the price of traditional methods. Our AI voices are indistinguishable from human's and our human-in-the-loop system means professional translators quality check all voiceovers for utmost accuracy.",,,20000000,USD,20000000,Series A,33234603,USD,33234603,20000000,USD,20000000,Series A,Early Stage Venture,"Entrepreneur First, Sands Capital Ventures, LocalGlobe, Octopus Ventures, John Collison",,,20,"10,545",amir@papercup.com,
Circulor,https://www.crunchbase.com/organization/circulor,2022-06-28,51-100,2017-10-01,day,"Artificial Intelligence, Blockchain, CleanTech, GreenTech, Supply Chain Management","London, England, United Kingdom",Circulor is a blockchain sustainability company that offers traceability-as-a-service and supply chain solutions for manufacturers.,528,$1M to $10M,Active,For Profit,https://circulor.com,https://twitter.com/circulor1,https://www.facebook.com/Circulor1,https://www.linkedin.com/company/circulor,,"Circulor uses blockchain and AI to cut the cost of traceability and due diligence in raw materials supply chains. Its pioneer customers include car manufacturers, EV battery manufacturers, commodity traders, and miners who collectively want to pioneer more effective approaches to responsible sourcing. Circulor was founded in 2017 and is headquartered in London, England.",,,20550000,GBP,25218963,Series B,45057787,USD,45057787,20550000,GBP,25218963,Series B,Early Stage Venture,"SYSTEMIQ, 24 Haymarket, The Westly Group, Aerospace Xelerated, Plug and Play Tech Center",,,8,231,info@circulor.com,+4420 3858 0555
1NCE,https://www.crunchbase.com/organization/1nce-gmbh,2022-06-08,101-250,2017-12-01,month,"Internet of Things, Telecommunications, Wireless","Köln, Nordrhein-Westfalen, Germany",1NCE is the only provider of connectivity and software for IoT at a global flat rate,564,Less than $1M,Active,For Profit,https://1nce.com,https://twitter.com/1NCE_IoT,https://www.facebook.com/1NCEGmbH,https://www.linkedin.com/company/18471615/,,"1NCE is the only provider of connectivity and software for IoT at a global flat rate – offering fast, secure, and reliable cellular connectivity and software services in 140 countries worldwide. The 1NCE IoT Flat Rate is designed to last over the entire lifetime of an IoT device with a one-off payment of $10 (€10) for 10 years, making IoT applications affordable and scalable for smart utilities, asset tracking, vehicle telematics and other uses.  The company – founded in 2017 by CEO Alexander P. Sator together with Deutsche Telekom AG – is headquartered in Cologne, Germany and has 200 staff in Amsterdam, Cologne, Hamburg, Hong Kong, London, Miami, Paris, Riga, Rome, and Warsaw.",,,,,,Venture - Series Unknown,50000000,USD,50000000,,,,Venture - Series Unknown,,"SoftBank, SoftBank Vision Fund, I Squared Capital, T-mobile Deutsche Telekom",2021-11-30,,9,"34,996",press@1NCE.com,
StarkWare Industries,https://www.crunchbase.com/organization/starkware-industries-ltd,2022-05-25,51-100,2018-01-01,day,"Blockchain, Cryptocurrency, Information Technology, Software","Netanya, HaMerkaz, Israel",StarkWare Industries develops a full-proof stack in generating and verifying proofs of computational integrity in the blockchain.,591,,Active,For Profit,http://www.starkware.co,https://twitter.com/StarkWareLtd,,https://www.linkedin.com/company/starkware,Unicorn,"StarkWare Industries uses Stark technology to develop a full proof stack in generating and verifying proofs of computational integrity. It was founded in 2018 and is headquartered in Netanya, HaMerkaz, Israel.",,,100000000,USD,100000000,Series D,261000000,USD,261000000,100000000,USD,100000000,Series D,Late Stage Venture,"Sequoia Capital, Tiger Global Management, Atomico, Ethereum Foundation, ConsenSys",,,6,"42,706",info@starkware.co,
Elwood Technologies,https://www.crunchbase.com/organization/elwood-asset-management,2022-05-16,101-250,2020-01-01,year,"Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","London, England, United Kingdom",Elwood Technologies is an established global fintech building institutional-grade digital assets trading infrastructure.,701,$1M to $10M,Active,For Profit,https://elwood.io/,https://twitter.com/elwood_io,,https://www.linkedin.com/company/elwoodtechnologies/,Emerging Unicorn,,,,70000000,USD,70000000,Series A,70000000,USD,70000000,70000000,USD,70000000,Series A,Early Stage Venture,"Digital Currency Group, BlockFi, Galaxy Digital, Barclays Corporate Banking, Goldman Sachs",,,6,"31,889",info@elwood.io,
Embracer Group,https://www.crunchbase.com/organization/embracer-group,2022-06-08,101-250,2019-09-01,month,"Online Games, PC Games, Software, Video Games","Karlstad, Varmlands Lan, Sweden",Embracer Group is a parent company of businesses that develop and publish PC and console games for the global games market.,770,$500M to $1B,Active,For Profit,https://embracer.com/,https://twitter.com/embracergroup,,https://www.linkedin.com/company/embracergroup/,,"Embracer Group is a parent company of companies led by entrepreneurs in PC, console, mobile and board games and other related media. The Group has a gaming portfolio with over 850 owned or controlled brands. Embracer Group was previously THQ Nordic AB. One of the subsidiaries: THQ Nordic GmbH shared the same name and brand as the parent company, THQ Nordic AB (publ). The subsidiary was originally the operating company but is currently one of several divisions. In September 2019, THQ Nordic AB (publ) became the Embracer Group to prevent ambiguities and clarify the group's structure. THQ Nordic GmbH continues to operate as a global video game developer. Embracer Group has a game portfolio with over 850 owned or controlled brands, such as Saints Row, Goat Simulator, Dead Island, Darksiders, Metro, MX vs ATV, Kingdoms of Amalur, TimeSplitters, Satisfactory, Wreckfest, Insurgency, World War Z, Borderlands and many more. The Group is headquartered in Karlstad and has a global presence through the ten operating groups: THQ Nordic GmbH, Koch Media GmbH / Deep Silver, Coffee Stain AB, Amplifier Game Invest AB, Saber Interactive, DECA Games, Gearbox Entertainment, Easybrain, Asmodee and Dark Horse. Embracer Group has 119 internal studios and more than 12,500 employees and contracted developers in more than 40 countries.",,,10300000000,SEK,1048299322,Post-IPO Equity,1702000872,USD,1702000872,10300000000,SEK,1048299322,Post-IPO Equity,IPO,"Savvy Gaming Group, Canada Pension Plan Investment Board",,,10,"445,040",info@embracer.com,
Remilk,https://www.crunchbase.com/organization/remilk,2022-01-04,101-250,2019-06-14,day,"Biotechnology, Food and Beverage, Food Processing, Nutrition","Tel Aviv, Tel Aviv, Israel",Remilk is a global leader in the development of animal-free dairy through microbial fermentation.,810,,Active,For Profit,https://www.remilk.com/,https://twitter.com/Remilk_Foods,https://www.facebook.com/remilkfoods,https://www.linkedin.com/company/remilk/,,"Remilk is a food-tech company that uses microbes to produce the key ingredients in milk. The company is developing technology for creating a milk substitute that is similar to cow milk in flavor, nutritional composition, composition, and functionality. It was founded in 2019 and is based in Tel Aviv, Israel.",,,120000000,USD,120000000,Series B,131301000,USD,131301000,120000000,USD,120000000,Series B,Early Stage Venture,"OurCrowd, Hanaco Venture Capital, Tal Ventures, CPT Capital, Rage Capital",2022-05-24,,11,"10,406",info@remilk.com,
Stoïk,https://www.crunchbase.com/organization/stoïk,2022-06-28,11-50,2021-01-01,year,Cloud Security,"Paris, Ile-de-France, France",Stoïk provides insurance and security to free your business from cyber-risk,"1,131",,Active,For Profit,https://stoik.io,https://twitter.com/Stoik_app,https://www.facebook.com/stoikapp,https://www.linkedin.com/company/stoikio,,Stoïk provides insurance and security to free your business from cyber-risk,,,11000000,EUR,11634917,Series A,14800000,EUR,15982256,11000000,EUR,11634917,Series A,Early Stage Venture,"Andreessen Horowitz, Anthemis Group, Kima Ventures, Alven, Henry Kravis",,,10,"4,104",contact@stoik.io,
Moralis,https://www.crunchbase.com/organization/moralis,2022-05-11,51-100,2021-06-01,month,"Blockchain, Cryptocurrency, Developer APIs, Developer Platform","Stockholm, Stockholms Lan, Sweden","Moralis is a developer of a web3 development platform for developers to build and launch apps, games, and NFTs cross-chain.","1,156",,Active,,https://moralis.io,https://twitter.com/MoralisWeb3,https://www.facebook.com/MoralisWeb3,https://www.linkedin.com/company/moralisweb3,,"Moralis provides a complete end-to-end blockchain application development platform powering decentralized apps (dApps), uniquely allowing developers and companies to focus on the front-end while handling the entire back-end of development. The company develops software and application programming interfaces (APIs) that combine user authentication, identity management, historic and real-time transaction information, and session management to make it easier for developers to make the transition between Web 2 and Web 3. Moralis was co-founded by Ivan Liljeqvist and Filip Martinsson in June 2021.",,,40000000,USD,40000000,Series A,53434721,USD,53434721,40000000,USD,40000000,Series A,Early Stage Venture,"Coinbase Ventures, EQT Ventures, Fabric Ventures, Dispersion Capital",,,8,"934,015",hello@moralis.io,
Seemplicity,https://www.crunchbase.com/organization/seemplicity,2022-05-31,11-50,2020-01-01,year,"Cyber Security, Risk Management","Tel Aviv, Tel Aviv, Israel","Seemplicity offers single platform with cyber-security, risk reduction, remediation, automation and remediation workflow.","1,199",,Active,For Profit,https://seemplicity.io/,https://twitter.com/seemplicity_io,https://www.facebook.com/Seemplicity-109352238010831/,https://www.linkedin.com/company/seemplicity/,,,,,26000000,USD,26000000,Series A,32000000,USD,32000000,26000000,USD,26000000,Series A,Early Stage Venture,"Atlantic Bridge, S Capital, NTT Venture Capital, Rain Capital, Glilot Capital Partners",,,,,partners@seemplicity.io,
Konnecto,https://www.crunchbase.com/organization/konnecto,2022-06-28,11-50,2018-01-01,day,"Artificial Intelligence, Big Data, Consumer Research, Internet, Marketing, Software","Tel Aviv, Tel Aviv, Israel",Konnecto its the world's 1st Prescriptive Path-to-Purchase Optimization Platform,"1,263",Less than $1M,Active,For Profit,https://www.konnecto.com,https://twitter.com/KonnecTo_/,,https://www.linkedin.com/company/konnecto/,,"Konnecto offers the world’s first prescriptive marketing platform that provides consumer brands with daily recommendations on how to increase their online sales by reverse engineering their competitors’ journeys and identifying path-to-purchase vulnerabilities. Konnecto works with companies across a variety of industries, including Coca-Cola, MyHeritage, AON, Haven Life, and many others",,,21000000,USD,21000000,Series A,24500000,USD,24500000,21000000,USD,21000000,Series A,Early Stage Venture,"PeakSpan Capital, MassChallenge, TPY Capital, Mindset Ventures, Differential Ventures",,,8,,,
